,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,,,CEO,,Major shareholder,,,,
1,Name,,Number of investors,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,Name,,Share ratio (%),,Name,,Share ratio (%),
5,,,,,,,,,,
6,"Samsung Life Insurance Co., Ltd","101,544",Young-muk Jeon,0.00,Samsung C&T,19.34,,,,
7,,,,,,,,,,
