,Classification,1Q23,Unnamed: 0,2022,Unnamed: 1,2021,Unnamed: 2
0,Products,,"604,696",,"2,903,461",,"2,658,785"
1,Services and other revenue,,"32,758",,"118,853",,"137,263"
2,Total,,"637,454",,"3,022,314",,"2,796,048"
