,Unnamed: 0,2022,Unnamed: 1,2021,Unnamed: 2,2020,Unnamed: 3
0,Greenhouse gas (tCO2-eq),,"19,568,505",,"19,267,835",,"17,234,522"
1,Energy (TJ),,"277,516",,"274,298",,"255,990"
