,Maturity,Under 1 year,"Above 1 year/ under 2 years","Above 2 years/ under 3 years","Above 3 years/ under 4 years","Above 4 years/ under 5 years","Above 5 years/ under 10 years",Above 10 years,Total,Unnamed: 0
0,,,,Above 1 year,Above 2 years,Above 3 years,Above 4 years,Above 5 years,,
1,Maturity,Under 1 year,Above 10 years,Total,,,,,,
2,,,,/ under 2 years,/ under 3 years,/ under 4 years,/ under 5 years,/ under 10 years,,
3,"Unredeemedbalance",Private,-,"23,000",-,-,"42,000",-,-,"65,000"
4,Total,-,"23,000",-,-,"42,000",-,-,"65,000",
