,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Financial income,,,,
1,Interest income,,"61,775",,"83,458"
2,Interest income from financial assets measured at amortized cost,,"61,775",,"83,458"
3,Foreign exchange differences,,"1,855,830",,"1,396,907"
4,Gain from derivatives,,"235,753",,"259,530"
5,Total,,"2,153,358",,"1,739,895"
6,(In millions of Korean won),2023.0,,2022.0,
7,,,,,
8,Financial expenses,,,,
9,Interest expenses,,"161,503",,"53,921"
10,Interest expenses from financial liabilities measured at amortized cost,,"78,712",,"11,817"
11,Other financial liabilities,,"82,791",,"42,104"
12,Foreign exchange differences,,"2,158,645",,"1,388,447"
13,Total,,"2,320,148",,"1,442,368"
