,Maturity,Under 1 year,Unnamed: 0,Above 1 year,Unnamed: 1,Unnamed: 2,Above 2 years,Unnamed: 3,Unnamed: 4,Above 3 years,Unnamed: 5,Unnamed: 6,Above 4 years,Unnamed: 7,Unnamed: 8,Above 5 years,Unnamed: 9,Above 10 years,Total
0,Maturity,Under 1 year,Above 10 years,Total,,,,,,,,,,,,,,,
1,,,,/ under 2 years,/ under 3 years,/ under 4 years,/ under 5 years,/ under 10 years,,,,,,,,,,,
2,"Unredeemedbalance",Public,-,-,"521,520",-,-,-,-,"521,520",,,,,,,,,
3,Total,-,-,"521,520",-,-,-,-,"521,520",,,,,,,,,,
