,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Other non-operating income,,,,
1,Dividend income,,"8,439,845",,"127,508"
2,Rental income,,"45,897",,"43,238"
3,"Gain on disposal of property, plant and equipment",,"31,902",,"48,098"
4,Other,,"52,340",,"64,427"
5,Total,,"8,569,984",,"283,271"
6,,,,,
7,,,,,
8,(In millions of Korean won),2023.0,,2022.0,
9,,,,,
10,Other non-operating expenses,,,,
11,"Loss on disposal of property, plant and equipment",,"3,166",,934
12,Donations,,"57,347",,"52,457"
13,Other,,"31,727",,"1,218"
14,Total,,"92,240",,"54,609"
