,Maturity,Under 10 days,"Above 10 days/ under 30 days","Above 30 days/ under 90 days","Above 90 days /under 180 days","Above 180 days/ under 1 year","Above 1 year/ under 2 years","Above 2 years/ under 3 years",Above 3 years,Total,Unnamed: 0
0,,,,Above 10 days,Above 30 days,Above 90 days /,Above 180 days,Above 1 year,Above 2 years,,
1,Maturity,Under 10 days,Above 3 years,Total,,,,,,,
2,,,,/ under 30 days,/ under 90 days,under 180 days,/ under 1 year,/ under 2 years,/ under 3 years,,
3,"Unredeemedbalance",Public,-,-,-,-,-,-,-,-,-
4,Private,"70,000","45,000",-,-,-,-,-,-,"115,000",
5,Total,"70,000","45,000",-,-,-,-,-,-,"115,000",
