,Unnamed: 0,1Q23,2022,2021
0,,1Q23,2022,2021
1,"1. Allowance for bad debt(beginning balance)","406,677","397,525","388,943"
2,2. Net bad debt expense (1-2+3),"-8,123","16,658","25,926"
3,"1Bad debt expense, etc (Write-off)","-6,276","9,711","22,400"
4,"2Bad debt recovered",-,-,-
5,"3Others","-1,847","6,947","3,526"
6,3. Bad debts expense,"65,865","25,810","34,508"
7,"4. Allowance for bad debts(Ending balance)","480,665","406,677","397,525"
