,Maturity,Unnamed: 0,Under 1 year,Unnamed: 1,Unnamed: 2,Above 1 year,Unnamed: 3,Unnamed: 4,Unnamed: 5,Above 2 years,Unnamed: 6,Unnamed: 7,Unnamed: 8,Above 3 years,Unnamed: 9,Unnamed: 10,Above 4 years,Unnamed: 11,Unnamed: 12,Above 5 years,Unnamed: 13,Above 10 years,Total
0,Maturity,,Under 1 year,Above 10 years,Total,,,,,,,,,,,,,,,,,,
1,,,,,,/ under 2 years,/ under 3 years,/ under 4 years,/ under 5 years,/ under 10 years,,,,,,,,,,,,,
2,"Unredeemedbalance",Public,,"6,519",,"6,519",,"528,039",,"6,519","6,519",-,-,"554,115",,,,,,,,,
3,Private,,-,,"23,000",,-,,-,"42,000",-,-,"65,000",,,,,,,,,,
4,Total,,"6,519",,"29,519",,"528,039",,"6,519","48,519",-,-,"619,115",,,,,,,,,,
